Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"Avloclav 250 mg+125 mg","Avloclav 250 mg+125 mg","Amoxicillin + Clavulanic Acid","250 mg+125 mg","ট্যাবলেট","4 x 6","Broad spectrum penicillins","ACI Limited","27","27","OTC"
"Avloclav 500 mg+125 mg","Avloclav 500 mg+125 mg","Amoxicillin + Clavulanic Acid","500 mg+125 mg","ট্যাবলেট","4 x 6","Broad spectrum penicillins","ACI Limited","35","35","OTC"
"Avloclav 875 mg+125 mg","Avloclav 875 mg+125 mg","Amoxicillin + Clavulanic Acid","875 mg+125 mg","ট্যাবলেট","2 x 6","Broad spectrum penicillins","ACI Limited","50","50","OTC"
"Avloclav BID (400 mg+57.50 mg)/5 ml","Avloclav BID (400 mg+57.50 mg)/5 ml","Amoxicillin + Clavulanic Acid","400 mg+57.50 mg)/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","ACI Limited","245","245","OTC"
"Avlomox 125 mg/1.25 ml","Avlomox 125 mg/1.25 ml","Amoxicillin Trihydrate","125 mg/1.25 ml","Pediatric Drops","একক","Broad spectrum penicillins","ACI Limited","35","35","OTC"
"Avlomox 125 mg/5 ml","Avlomox 125 mg/5 ml","Amoxicillin Trihydrate","125 mg/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","ACI Limited","70","70","OTC"
"Avlomox 250 mg","Avlomox 250 mg","Amoxicillin Trihydrate","250 mg","ক্যাপসুল","10 x 10","Broad spectrum penicillins","ACI Limited","4","4","OTC"
"Avlomox 500 mg","Avlomox 500 mg","Amoxicillin Trihydrate","500 mg","ক্যাপসুল","4 x 10","Broad spectrum penicillins","ACI Limited","7.5","7.5","OTC"
"Avlomox 500 mg/vial","Avlomox 500 mg/vial","Amoxicillin Trihydrate","500 mg/vial","IM/IV Injection","একক","Broad spectrum penicillins","ACI Limited","55","55","OTC"
"Avlomox DS 250 mg/5 ml","Avlomox DS 250 mg/5 ml","Amoxicillin Trihydrate","250 mg/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","ACI Limited","100","100","OTC"
"Avloquin 250 mg","Avloquin 250 mg","Chloroquine Phosphate","250 mg","ট্যাবলেট","10 x 10","Anti-malarial drugs","ACI Limited","1.32","1.32","OTC"
"Avloquin 50 mg/5 ml","Avloquin 50 mg/5 ml","Chloroquine Phosphate","50 mg/5 ml","সিরাপ","একক","Anti-malarial drugs","ACI Limited","14.91","14.91","OTC"
"Avloquin-H 200 mg","Avloquin-H 200 mg","Hydroxychloroquine Sulphate","200 mg","ট্যাবলেট","3 x 10","Anti-malarial drugs, Disease-modifying antirheumatic drugs (DMARDs), Drugs used for Rheumatoid Arthritis","ACI Limited","15","15","OTC"
"Avlosef 1 gm/vial","Avlosef 1 gm/vial","Cephradine","1 gm/vial","IM/IV Injection","একক","First generation cephalosporins","ACI Limited","95.29","95.29","OTC"
