Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"Cinaryl 15 mg","Cinaryl 15 mg","Cinnarizine","15 mg","ট্যাবলেট","10 x 10","Anti vertigo drugs","Opsonin Pharma Ltd.","1","1","OTC"
"Cinaryl Plus 20 mg+40 mg","Cinaryl Plus 20 mg+40 mg","Cinnarizine + Dimenhydrinate","20 mg+40 mg","ট্যাবলেট","10 x 10","Anti vertigo drugs","Opsonin Pharma Ltd.","2","2","OTC"
"Cinarzin 15 mg","Cinarzin 15 mg","Cinnarizine","15 mg","ট্যাবলেট","10 x 10","Anti vertigo drugs","The IBN SINA Pharmaceutical PLC","1","1","OTC"
"Cinarzin Plus 20 mg+40 mg","Cinarzin Plus 20 mg+40 mg","Cinnarizine + Dimenhydrinate","20 mg+40 mg","ট্যাবলেট","10 x 10","Anti vertigo drugs","The IBN SINA Pharmaceutical PLC","2","2","OTC"
"Cinazin 15 mg","Cinazin 15 mg","Cinnarizine","15 mg","ট্যাবলেট","10 x 10","Anti vertigo drugs","ACME Laboratories Ltd.","1.35","1.35","OTC"
"Cinazin Plus 20 mg+40 mg","Cinazin Plus 20 mg+40 mg","Cinnarizine + Dimenhydrinate","20 mg+40 mg","ট্যাবলেট","10 x 10","Anti vertigo drugs","ACME Laboratories Ltd.","2","2","OTC"
"Cinekar 10 mg","Cinekar 10 mg","Cilnidipine","10 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Jenphar Bangladesh Ltd.","9","9","OTC"
"Cinekar 5 mg","Cinekar 5 mg","Cilnidipine","5 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Jenphar Bangladesh Ltd.","7","7","OTC"
"Cinet 500 mg","Cinet 500 mg","Calcium Carbonate","500 mg","ট্যাবলেট","1 x 30","Minerals in bone formation, Specific mineral preparations","Belsen Pharmaceuticals Ltd.","2","2","OTC"
"Cinnarizine 15 mg","Cinnarizine 15 mg","Cinnarizine","15 mg","ট্যাবলেট","200's pack","Anti vertigo drugs","Bristol Pharmaceuticals Ltd.","1","1","OTC"
"Cinoderm 0.025%","Cinoderm 0.025%","Fluocinolone Acetonide","0.025%","ক্রিম","একক","Fluocinolone & Combined Preparations","Drug International Ltd.","45","45","OTC"
"Cinomyst 15 mg","Cinomyst 15 mg","Cinnarizine","15 mg","ট্যাবলেট","100's pack","Anti vertigo drugs","Mystic Pharmaceuticals Ltd.","0.7","0.7","OTC"
"Cinon 0.1%","Cinon 0.1%","Halcinonide","0.1%","ক্রিম","একক","Other Topical corticosteroids","Ambee Pharmaceuticals Ltd.","16.07","16.07","OTC"
"Cip 0.3%","Cip 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Ointment","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Asiatic Laboratories Ltd.","32","32","OTC"
"Cip 0.3%","Cip 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Solution","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Asiatic Laboratories Ltd.","45","45","OTC"
"Cip 500 mg","Cip 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","5 x 6","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Asiatic Laboratories Ltd.","14","14","OTC"
"Cip 750 mg","Cip 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","2 x 6","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Asiatic Laboratories Ltd.","18","18","OTC"
"Cip-D 0.3%+0.1%","Cip-D 0.3%+0.1%","Ciprofloxacin + Dexamethasone","0.3%+0.1%","Ophthalmic Solution","একক","Aural steroid & antibiotic combined preparations","Asiatic Laboratories Ltd.","75","75","OTC"
"Cipcin 0.3%","Cipcin 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Solution","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Biopharma Limited","45","45","OTC"
"Cipcin 200 mg/100 ml","Cipcin 200 mg/100 ml","Ciprofloxacin","200 mg/100 ml","আইভি ইনফিউশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Biopharma Limited","140","140","Rx"
"Cipcin 250 mg","Cipcin 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Biopharma Limited","8.52","8.52","OTC"
"Cipcin 250 mg/5 ml","Cipcin 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Biopharma Limited","100","100","OTC"
"Cipcin 500 mg","Cipcin 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Biopharma Limited","15.06","15.06","OTC"
"Cipcin 750 mg","Cipcin 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","3 x 4","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Biopharma Limited","18.08","18.08","OTC"
"Cipcin-DX 0.3%+0.1%","Cipcin-DX 0.3%+0.1%","Ciprofloxacin + Dexamethasone","0.3%+0.1%","Ophthalmic Solution","একক","Aural steroid & antibiotic combined preparations","Biopharma Limited","75","75","OTC"
"Cipex 250 mg","Cipex 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Al-Madina Pharmaceuticals Ltd.","7","7","OTC"
"Cipex 250 mg/5 ml","Cipex 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Al-Madina Pharmaceuticals Ltd.","90","90","OTC"
"Cipex 500 mg","Cipex 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Al-Madina Pharmaceuticals Ltd.","12","12","OTC"
"Cipex 750 mg","Cipex 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","2 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Al-Madina Pharmaceuticals Ltd.","17","17","OTC"
"Ciplon 200 mg/100 ml","Ciplon 200 mg/100 ml","Ciprofloxacin","200 mg/100 ml","আইভি ইনফিউশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Techno Drugs Ltd.","95","95","Rx"
"Ciplon DS 400 mg/100 ml","Ciplon DS 400 mg/100 ml","Ciprofloxacin","400 mg/100 ml","আইভি ইনফিউশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Techno Drugs Ltd.","144.32","144.32","Rx"
"Cipran 40 mg","Cipran 40 mg","Levomilnacipran Hydrochloride","40 mg","Capsule (Extended Release)","3 x 6","Serotonin-norepinephrine reuptake inhibitor (SNRI)","Renata PLC","18","18","OTC"
"Cipran 80 mg","Cipran 80 mg","Levomilnacipran Hydrochloride","80 mg","Capsule (Extended Release)","3 x 6","Serotonin-norepinephrine reuptake inhibitor (SNRI)","Renata PLC","35","35","OTC"
"Ciprin 0.3%","Ciprin 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Solution","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Nipa Pharmaceuticals Ltd.","40","40","OTC"
"Ciprin 0.3%","Ciprin 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Ointment","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Nipa Pharmaceuticals Ltd.","35","35","OTC"
"Ciprin 500 mg","Ciprin 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Nipa Pharmaceuticals Ltd.","12","12","OTC"
"Cipro 250 mg/5 ml","Cipro 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Apollo Pharmaceutical Ltd.","80","80","OTC"
"Cipro 500 mg","Cipro 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","30's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Apollo Pharmaceutical Ltd.","10","10","OTC"
"Cipro-A 0.3%","Cipro-A 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Solution","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","ACME Laboratories Ltd.","50","50","OTC"
"Cipro-A 200 mg/100 ml","Cipro-A 200 mg/100 ml","Ciprofloxacin","200 mg/100 ml","আইভি ইনফিউশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","ACME Laboratories Ltd.","146.94","146.94","Rx"
"Cipro-A 250 mg","Cipro-A 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","ACME Laboratories Ltd.","8.56","8.56","OTC"
"Cipro-A 250 mg/5 ml","Cipro-A 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","ACME Laboratories Ltd.","100.3","100.3","OTC"
"Cipro-A 500 mg","Cipro-A 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","2 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","ACME Laboratories Ltd.","16.5","16.5","OTC"
"Cipro-A 750 mg","Cipro-A 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","2 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","ACME Laboratories Ltd.","18.11","18.11","OTC"
"Cipro-C 0.3%","Cipro-C 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Solution","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Chemist Laboratories  Ltd.","45","45","OTC"
"Cipro-C 250 mg/5 ml","Cipro-C 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Chemist Laboratories  Ltd.","110","110","OTC"
"Cipro-C 500 mg","Cipro-C 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","5 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Chemist Laboratories  Ltd.","15","15","OTC"
"Cipro-D 0.3%+0.1%","Cipro-D 0.3%+0.1%","Ciprofloxacin + Dexamethasone","0.3%+0.1%","Ophthalmic Solution","একক","Aural steroid & antibiotic combined preparations","ACME Laboratories Ltd.","75.22","75.22","OTC"
"Cipro-M 500 mg","Cipro-M 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","40's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Modern Pharmaceuticals Ltd.","14.06","14.06","OTC"
"Cipro-M 750 mg","Cipro-M 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","20's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Modern Pharmaceuticals Ltd.","18.06","18.06","OTC"
"Cipro-P 500 mg","Cipro-P 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Pristine Pharmaceuticals Ltd","14","14","OTC"
"Cipro-S 250 mg/5 ml","Cipro-S 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Seema Pharmaceuticals Ltd.","90","90","OTC"
"Cipro-S 500 mg","Cipro-S 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","50's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Seema Pharmaceuticals Ltd.","14","14","OTC"
"Ciproaid 500 mg","Ciproaid 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Labaid Pharma Ltd.","17.5","17.5","OTC"
"Ciprobac 500 500 mg","Ciprobac 500 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","20's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Bristol Pharmaceuticals Ltd.","10","10","OTC"
"Ciprobac DS 250 mg/5 ml","Ciprobac DS 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Bristol Pharmaceuticals Ltd.","80","80","OTC"
"Ciprobey 250 mg/5 ml","Ciprobey 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Sharif Pharmaceuticals Ltd.","100","100","OTC"
"Ciprobey 500 mg","Ciprobey 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Sharif Pharmaceuticals Ltd.","14.04","14.04","OTC"
"Ciprocap 250 mg","Ciprocap 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","30's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Sonear Laboratories Ltd.","8.71","8.71","OTC"
"Ciprocap 500 mg","Ciprocap 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","16's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Sonear Laboratories Ltd.","14.35","14.35","OTC"
"Ciprocin 0.3%","Ciprocin 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Solution","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Square Pharmaceuticals PLC","50","50","OTC"
"Ciprocin 200 mg/100 ml","Ciprocin 200 mg/100 ml","Ciprofloxacin","200 mg/100 ml","আইভি ইনফিউশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Square Pharmaceuticals PLC","146","146","Rx"
"Ciprocin 250 mg","Ciprocin 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","5 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Square Pharmaceuticals PLC","8.56","8.56","OTC"
"Ciprocin 250 mg/5 ml","Ciprocin 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Square Pharmaceuticals PLC","100.3","100.3","OTC"
"Ciprocin 500 mg","Ciprocin 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Square Pharmaceuticals PLC","15.05","15.05","OTC"
"Ciprocin 750 mg","Ciprocin 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","2 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Square Pharmaceuticals PLC","18.12","18.12","OTC"
"Ciprocort 0.3%+1%","Ciprocort 0.3%+1%","Ciprofloxacin + Hydrocortisone Acetate","0.3%+1%","Ophthalmic Suspension","একক","Aural steroid & antibiotic combined preparations","Drug International Ltd.","90.3","90.3","OTC"
"Ciprodyl 500 mg","Ciprodyl 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","SMC Enterprise Ltd","12","12","OTC"
"Ciprofloxacin 250 mg","Ciprofloxacin 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Pharmik Laboratories Ltd.","8.5","8.5","OTC"
"Ciprofloxacin 500 mg","Ciprofloxacin 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Pharmik Laboratories Ltd.","15","15","OTC"
"Ciprogerm 500 mg","Ciprogerm 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Biogen Pharmaceuticals Ltd.","14","14","OTC"
"Ciproguard 500 mg","Ciproguard 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","30's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Guardian Healthcare Ltd.","14.05","14.05","OTC"
"Ciprol 500 mg","Ciprol 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Medicon Pharmaceuticals Ltd.","15","15","OTC"
"Ciprol DS 250 mg/5 ml","Ciprol DS 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Medicon Pharmaceuticals Ltd.","110","110","OTC"
"Ciprolyn 250 mg/5 ml","Ciprolyn 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Cosmic Pharma Ltd.","90","90","OTC"
"Ciprolyn 500 mg","Ciprolyn 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","30's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Cosmic Pharma Ltd.","13","13","OTC"
"Ciprom 250 mg","Ciprom 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","30's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Millat Pharmaceuticals Ltd.","5","5","OTC"
"Ciprom 500 mg","Ciprom 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","20's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Millat Pharmaceuticals Ltd.","12","12","OTC"
"Ciprom DS 250 mg/5 ml","Ciprom DS 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Millat Pharmaceuticals Ltd.","80","80","OTC"
"Cipromet 250 mg","Cipromet 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","30's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Medimet Pharmaceuticals Ltd.","6","6","OTC"
"Cipromet 500 mg","Cipromet 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","20's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Medimet Pharmaceuticals Ltd.","10","10","OTC"
"Cipron 250 mg/5 ml","Cipron 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Edruc Limited","90.01","90.01","OTC"
"Cipron 500 mg","Cipron 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","50's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Edruc Limited","14","14","OTC"
"Cipronaaf 500 mg","Cipronaaf 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","2 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Naafco Pharma PLC","15","15","OTC"
"Cipronil 250 mg/5 ml","Cipronil 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Silva Pharmaceuticals Ltd.","95","95","OTC"
"Cipronil 500 mg","Cipronil 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","5 x 6","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Silva Pharmaceuticals Ltd.","14.05","14.05","OTC"
"Cipronil 750 mg","Cipronil 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","3 x 4","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Silva Pharmaceuticals Ltd.","18.12","18.12","OTC"
"Cipronor 250 mg/5 ml","Cipronor 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Novelta Bestway Pharma Ltd.","100","100","OTC"
"Cipronor 500 mg","Cipronor 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","20's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Novelta Bestway Pharma Ltd.","14","14","OTC"
"Ciprosic 250 mg/5 ml","Ciprosic 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Physic pharmaceuticals ltd.","95","95","OTC"
"Ciprosic 500 mg","Ciprosic 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Physic pharmaceuticals ltd.","14.5","14.5","OTC"
"Ciprosic 750 mg","Ciprosic 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","2 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Physic pharmaceuticals ltd.","17.5","17.5","OTC"
"Ciprotec 250 mg/5 ml","Ciprotec 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","APC Pharma Ltd.","80","80","OTC"
"Ciprotec 500 mg","Ciprotec 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","20's pack","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","APC Pharma Ltd.","8","8","OTC"
"Ciprotim 500 mg","Ciprotim 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Doctor TIMS Pharmaceuticals Ltd.","14","14","OTC"
"Ciproton 500 mg","Ciproton 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Centeon Pharma Ltd.","15","15","OTC"
"Ciprox 0.3%","Ciprox 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Ointment","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Opsonin Pharma Ltd.","35","35","OTC"
"Ciprox 0.3%","Ciprox 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Solution","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Opsonin Pharma Ltd.","40.15","40.15","OTC"
"Ciprox 200 mg/100 ml","Ciprox 200 mg/100 ml","Ciprofloxacin","200 mg/100 ml","আইভি ইনফিউশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Opsonin Pharma Ltd.","100","100","Rx"
"Ciprox 250 mg","Ciprox 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Opsonin Pharma Ltd.","8.53","8.53","OTC"
"Ciprox 500 mg","Ciprox 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","4 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Opsonin Pharma Ltd.","15.05","15.05","OTC"
"Ciprox 750 mg","Ciprox 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","3 x 6","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Opsonin Pharma Ltd.","18.07","18.07","OTC"
"Ciprox DS 250 mg/5 ml","Ciprox DS 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Opsonin Pharma Ltd.","100","100","OTC"
"Ciprox XR 1000 mg","Ciprox XR 1000 mg","Ciprofloxacin","1000 mg","Tablet (Extended Release)","1 x 6","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Opsonin Pharma Ltd.","20.08","20.08","OTC"
"Ciproxen 250 mg/5 ml","Ciproxen 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Ad-din Pharmaceuticals Ltd.","100","100","OTC"
"Ciproxen 500 mg","Ciproxen 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Ad-din Pharmaceuticals Ltd.","15","15","OTC"
"Ciproxim 500 mg","Ciproxim 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 8","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","The White Horse Pharmaceuticals Ltd.","14","14","OTC"
"Ciprozen 250 mg","Ciprozen 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","5 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Zenith Pharmaceuticals Ltd.","8.03","8.03","OTC"
"Ciprozen 250 mg/5 ml","Ciprozen 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Zenith Pharmaceuticals Ltd.","75","75","OTC"
"Ciprozen DS 500 mg","Ciprozen DS 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Zenith Pharmaceuticals Ltd.","14","14","OTC"
"Ciprozid 0.3%","Ciprozid 0.3%","Ciprofloxacin (Ophthalmic)","0.3%","Ophthalmic Solution","একক","4-Quinolone preparations, Aural Anti-bacterial preparations, Ophthalmic antibacterial drugs","Drug International Ltd.","50","50","OTC"
"Ciprozid 200 mg/100 ml","Ciprozid 200 mg/100 ml","Ciprofloxacin","200 mg/100 ml","আইভি ইনফিউশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Drug International Ltd.","70","70","Rx"
"Ciprozid 250 mg","Ciprozid 250 mg","Ciprofloxacin","250 mg","ট্যাবলেট","5 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Drug International Ltd.","8.5","8.5","OTC"
"Ciprozid 250 mg/5 ml","Ciprozid 250 mg/5 ml","Ciprofloxacin","250 mg/5 ml","পাউডার সাসপেনশন","একক","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Drug International Ltd.","100","100","OTC"
"Ciprozid 750 mg","Ciprozid 750 mg","Ciprofloxacin","750 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Drug International Ltd.","18","18","OTC"
"Ciprozid-DS 500 mg","Ciprozid-DS 500 mg","Ciprofloxacin","500 mg","ট্যাবলেট","3 x 10","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Drug International Ltd.","15.05","15.05","OTC"
"Ciprozid-DX 0.3%+0.1%","Ciprozid-DX 0.3%+0.1%","Ciprofloxacin + Dexamethasone","0.3%+0.1%","Ophthalmic Solution","একক","Aural steroid & antibiotic combined preparations","Drug International Ltd.","75.25","75.25","OTC"
"Ciprozid-XR 1000 mg","Ciprozid-XR 1000 mg","Ciprofloxacin","1000 mg","Tablet (Extended Release)","2 x 7","4-Quinolone preparations, Anti-diarrhoeal antimicrobial drugs","Drug International Ltd.","18","18","OTC"
"Cipzin 10 mg","Cipzin 10 mg","Cetirizine Hydrochloride","10 mg","ট্যাবলেট","100's pack","Sedating Anti-histamine","Seema Pharmaceuticals Ltd.","2","2","OTC"
